 ,125,001110,131,-1.0,0.0,-1.0,-1.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-7.0,0.0, 
 ,125,001110,142,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,151,5.0,5.0,-1.0,5.0,100.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,3.0,0.0, 
 ,125,001110,174,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,181,0.0,-1.0,1.0,-1.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,182,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,184,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,101-190,8.0,7.0,0.0,6.0,75.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,-4.0,0.0, 
 ,125,001110,201,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,201-290,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,311,0.0,1.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,322,2.0,4.0,-3.0,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0, 
 ,125,001110,323,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0, 
 ,125,001110,371,3.0,1.0,3.0,1.0,33.3333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,202.0,0.0, 
 ,125,001110,390,3.0,3.0,0.0,1.0,33.3333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,56.0,0.0, 
 ,125,001110,311-390,9.0,9.0,0.0,3.0,33.3333333333,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,285.0,0.0, 
 ,125,001110,411,112.0,108.0,2.0,3.0,2.67857142857,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,957.0,0.0, 
 ,125,001110,413,45.0,38.0,2.0,3.0,6.66666666667,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,611.0,9.0, 
 ,125,001110,431,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0, 
 ,125,001110,433,9.0,7.0,2.0,3.0,33.3333333333,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,264.0,0.0, 
 ,125,001110,434,0.0,2.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
 ,125,001110,435,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0, 
 ,125,001110,451,-1.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,0.0, 
 ,125,001110,480,36.0,36.0,-10.0,9.0,25.0,0.0,0.0,0.0,6.0,0.0,-1.0,-1.0,11.0,6.0,0.0,-1.0,3.0,1443.0,38.0, 
 ,125,001110,490,12.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-423.0,0.0, 
 ,125,001110,411-490,217.0,201.0,0.0,18.0,8.29493087558,0.0,0.0,0.0,14.0,0.0,-1.0,-1.0,21.0,14.0,0.0,-1.0,5.0,2945.0,47.0, 
 ,125,001110,511,9.0,7.0,1.0,3.0,33.3333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1286.0,0.0, 
 ,125,001110,588,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0, 
 ,125,001110,589,6.0,7.0,-1.0,1.0,16.6666666667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,229.0,0.0, 
 ,125,001110,311-590,242.0,226.0,-1.0,25.0,10.3305785124,0.0,1.0,1.0,20.0,0.0,-1.0,-1.0,22.0,14.0,0.0,-1.0,3.0,2182.0,47.0, 
