Obec/město/KATASTR,Okres,Kraj,PČR útvar,Číslo katastru,Původní (chybné) zařazení/Poznámka,PRIORITA
Praha,Praha,Hlavní město Praha,KŘP Praha,,,
Brno,Brno-město,Jihomoravský kraj,MŘ Brno,,,
Ostrava,Ostrava-město,Moravskoslezský kraj,MŘ Ostrava,,,
Plzeň,Plzeň-město,Plzeňský kraj,MŘ Plzeň,,,
Aš,Cheb,Karlovarský kraj,OOP Aš,,,
Hranice,Cheb,Karlovarský kraj,OOP Aš,,,
Krásná,Cheb,Karlovarský kraj,OOP Aš,,,
Podhradí,Cheb,Karlovarský kraj,OOP Aš,,,
Bechyně,Tábor,Jihočeský kraj,OOP Bechyně,,,
Bečice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Březnice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Černýšovice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Dobronice u Bechyně,Tábor,Jihočeský kraj,OOP Bechyně,,,
Haškovcova Lhota,Tábor,Jihočeský kraj,OOP Bechyně,,,
Hodětín,Tábor,Jihočeský kraj,OOP Bechyně,,,
Hodonice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Malšice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Opařany,Tábor,Jihočeský kraj,OOP Bechyně,,,
Radětice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Rataje,Tábor,Jihočeský kraj,OOP Bechyně,,,
Řepeč,Tábor,Jihočeský kraj,OOP Bechyně,,,
Stádlec,Tábor,Jihočeský kraj,OOP Bechyně,,,
Sudoměřice u Bechyně,Tábor,Jihočeský kraj,OOP Bechyně,,,
Záhoří,Tábor,Jihočeský kraj,OOP Bechyně,,,
Bečov nad Teplou,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Chodov,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
CIHELNY,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,631043,OOP Karlovy Vary,2
Kolová,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Pila,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Stanovice,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Teplička,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Bělá pod Bezdězem,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Boreč,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Březovice,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Čistá,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Dolní Krupá,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,OOP Mnichovo Hradiště,2
Doubravička,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Katusice,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Kluky,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Kováň,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Kovanec,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Krásná Ves,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Niměřice,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Pětikozly,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Plužná,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Skalsko,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Strenice,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Sudoměř,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Velké Všelisy,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Vrátno,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Benátky nad Jizerou,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Bezno,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,OOP Bělá pod Bezdězem,2
Brodce,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Chotětov,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Dolní Slivno,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Hlavenec,Praha-východ,Středočeský kraj,OOP Benátky nad Jizerou,,,
Horky nad Jizerou,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Horní Slivno,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Hrušov,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Kochánky,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Košátky,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Kostelní Hlavno,Praha-východ,Středočeský kraj,OOP Benátky nad Jizerou,,,
Kropáčova Vrutice,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Mečeříž,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Nemyslovice,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Předměřice nad Jizerou,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Sedlec,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Skorkov,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Sojovice,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Sovínky,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,OOP Bělá pod Bezdězem,2
Sudovo Hlavno,Praha-východ,Středočeský kraj,OOP Benátky nad Jizerou,,,
Tuřice,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Zdětín,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Benešov,Benešov,Středočeský kraj,OOP Benešov,,,
Bystřice,Benešov,Středočeský kraj,OOP Benešov,,,
Chlístov,Benešov,Středočeský kraj,OOP Benešov,,,
Chrášťany,Benešov,Středočeský kraj,OOP Benešov,,,
Struhařov,Benešov,Středočeský kraj,OOP Benešov,,,
Václavice,Benešov,Středočeský kraj,OOP Benešov,,,
Benešov nad Ploučnicí,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Dobrná,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Dolní Habartice,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Františkov nad Ploučnicí,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Heřmanov,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Horní Habartice,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Huntířov,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,OOP Hřensko,2
Malá Veleň,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Merboltice,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Starý Šachov,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Valkeřice,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Velká Bukovina,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Verneřice,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Beroun,Beroun,Středočeský kraj,OOP Beroun,,,
Chrustenice,Beroun,Středočeský kraj,OOP Beroun,,,
Chyňava,Beroun,Středočeský kraj,OOP Beroun,,,
Hýskov,Beroun,Středočeský kraj,OOP Beroun,,,
Loděnice,Beroun,Středočeský kraj,OOP Beroun,,,
Nenačovice,Beroun,Středočeský kraj,OOP Beroun,,,
Nižbor,Beroun,Středočeský kraj,OOP Beroun,,,
Svatý Jan pod Skalou,Beroun,Středočeský kraj,OOP Beroun,,,
Tetín,Beroun,Středočeský kraj,OOP Beroun,,,
Vráž,Beroun,Středočeský kraj,OOP Beroun,,,
Železná,Beroun,Středočeský kraj,OOP Beroun,,,
Bílina,Teplice,Ústecký kraj,OOP Bílina,,,
Bžany,Teplice,Ústecký kraj,OOP Bílina,,,
Hostomice,Teplice,Ústecký kraj,OOP Bílina,,,
Hrobčice,Teplice,Ústecký kraj,OOP Bílina,,,
Kostomlaty pod Milešovkou,Teplice,Ústecký kraj,OOP Bílina,,,
Ledvice,Teplice,Ústecký kraj,OOP Bílina,,,
Lukov,Teplice,Ústecký kraj,OOP Bílina,,,
Měrunice,Teplice,Ústecký kraj,OOP Bílina,,,
Ohníč,Teplice,Ústecký kraj,OOP Bílina,,,
Světec,Teplice,Ústecký kraj,OOP Bílina,,,
Bílov,Nový Jičín,Moravskoslezský kraj,OOP Bílovec,,,
Bílovec,Nový Jičín,Moravskoslezský kraj,OOP Bílovec,,,
Bítov,Nový Jičín,Moravskoslezský kraj,OOP Bílovec,,,
Bravantice,Nový Jičín,Moravskoslezský kraj,OOP Bílovec,,,
Jistebník,Nový Jičín,Moravskoslezský kraj,OOP Bílovec,,,
Slatina,Nový Jičín,Moravskoslezský kraj,OOP Bílovec,,,
Tísek,Nový Jičín,Moravskoslezský kraj,OOP Bílovec,,,
Velké Albrechtice,Nový Jičín,Moravskoslezský kraj,OOP Bílovec,,,
Adamov,Blansko,Jihomoravský kraj,OOP Blansko,,,
Blansko,Blansko,Jihomoravský kraj,OOP Blansko,,,
Bořitov,Blansko,Jihomoravský kraj,OOP Blansko,,,
Brťov-Jeneč,Blansko,Jihomoravský kraj,OOP Blansko,,,
Bukovina,Blansko,Jihomoravský kraj,OOP Blansko,,,
Bukovinka,Blansko,Jihomoravský kraj,OOP Blansko,,,
Býkovice,Blansko,Jihomoravský kraj,OOP Blansko,,,
Černá Hora,Blansko,Jihomoravský kraj,OOP Blansko,,,
Dlouhá Lhota,Blansko,Jihomoravský kraj,OOP Blansko,,,
Habrůvka,Blansko,Jihomoravský kraj,OOP Blansko,,,
Holštejn,Blansko,Jihomoravský kraj,OOP Blansko,,,
Jedovnice,Blansko,Jihomoravský kraj,OOP Blansko,,,
Kotvrdovice,Blansko,Jihomoravský kraj,OOP Blansko,,,
Krasová,Blansko,Jihomoravský kraj,OOP Blansko,,,
Křtiny,Blansko,Jihomoravský kraj,OOP Blansko,,,
Kulířov,Blansko,Jihomoravský kraj,OOP Blansko,,,
Lažany,Blansko,Jihomoravský kraj,OOP Blansko,,,
Lipovec,Blansko,Jihomoravský kraj,OOP Blansko,,,
Lipůvka,Blansko,Jihomoravský kraj,OOP Blansko,,,
Lubě,Blansko,Jihomoravský kraj,OOP Blansko,,,
Malá Lhota,Blansko,Jihomoravský kraj,OOP Blansko,,,
Milonice,Blansko,Jihomoravský kraj,OOP Blansko,,,
Olomučany,Blansko,Jihomoravský kraj,OOP Blansko,,,
Ostrov u Macochy,Blansko,Jihomoravský kraj,OOP Blansko,,,
Petrovice,Blansko,Jihomoravský kraj,OOP Blansko,,,
Rájec-Jestřebí,Blansko,Jihomoravský kraj,OOP Blansko,,,
Ráječko,Blansko,Jihomoravský kraj,OOP Blansko,,,
Rudice,Blansko,Jihomoravský kraj,OOP Blansko,,,
Šebrov-Kateřina,Blansko,Jihomoravský kraj,OOP Blansko,,,
Senetářov,Blansko,Jihomoravský kraj,OOP Blansko,,,
Sloup,Blansko,Jihomoravský kraj,OOP Blansko,,,
Šošůvka,Blansko,Jihomoravský kraj,OOP Blansko,,,
Spešov,Blansko,Jihomoravský kraj,OOP Blansko,,,
Svinošice,Blansko,Jihomoravský kraj,OOP Blansko,,,
Újezd u Černé Hory,Blansko,Jihomoravský kraj,OOP Blansko,,,
Vavřinec,Blansko,Jihomoravský kraj,OOP Blansko,,,
Vilémovice,Blansko,Jihomoravský kraj,OOP Blansko,,,
Vysočany,Blansko,Jihomoravský kraj,OOP Blansko,,,
Závist,Blansko,Jihomoravský kraj,OOP Blansko,,,
Žďár,Blansko,Jihomoravský kraj,OOP Blansko,,,
Žernovník,Blansko,Jihomoravský kraj,OOP Blansko,,,
Bělčice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Bezdědovice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Blatná,Strakonice,Jihočeský kraj,OOP Blatná,,,
Bratronice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Březí,Strakonice,Jihočeský kraj,OOP Blatná,,,
Buzice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Čečelovice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Chlum,Strakonice,Jihočeský kraj,OOP Blatná,,,
Chobot,Strakonice,Jihočeský kraj,OOP Blatná,,,
Hajany,Strakonice,Jihočeský kraj,OOP Blatná,,,
Hornosín,Strakonice,Jihočeský kraj,OOP Blatná,,,
Kadov,Strakonice,Jihočeský kraj,OOP Blatná,,,
Kocelovice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Lažánky,Strakonice,Jihočeský kraj,OOP Blatná,,,
Lažany,Strakonice,Jihočeský kraj,OOP Blatná,,,
Lnáře,Strakonice,Jihočeský kraj,OOP Blatná,,,
Lom,Strakonice,Jihočeský kraj,OOP Blatná,,,
Mačkov,Strakonice,Jihočeský kraj,OOP Blatná,,,
Myštice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Předmíř,Strakonice,Jihočeský kraj,OOP Blatná,,,
Sedlice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Škvořetice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Tchořovice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Uzenice,Strakonice,Jihočeský kraj,OOP Blatná,,,
Uzeničky,Strakonice,Jihočeský kraj,OOP Blatná,,,
Záboří,Strakonice,Jihočeský kraj,OOP Blatná,,,
Blovice,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Borovno,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Chlum,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Chocenice,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Drahkov,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Jarov,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Letiny,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Louňová,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Měcholupy,Plzeň-jih,Plzeňský kraj,OOP Blovice,,OOP Blovice,2
Milínov,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Míšov,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Nové Mitrovice,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Seč,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Spálené Poříčí,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Střížovice,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Únětice,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Vlčtejn,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Žákava,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Zdemyslice,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
Ždírec,Plzeň-jih,Plzeňský kraj,OOP Blovice,,,
ALBEŘICE U HRADIŠTĚ,Karlovy Vary,Karlovarský kraj,OOP Bochov,917923,Dělí se mezi OOP Bochov a OOP Ostrov,2
Andělská Hora,Karlovy Vary,Karlovarský kraj,OOP Bochov,,,
Bochov,Karlovy Vary,Karlovarský kraj,OOP Bochov,,,
BRAŽEC U DOUPOVA,Karlovy Vary,Karlovarský kraj,OOP Bochov,917931,Dělí se mezi OOP Bochov a OOP Ostrov,2
BRAŽEC U HRADIŠTĚ,Karlovy Vary,Karlovarský kraj,OOP Bochov,990779,Dělí se mezi OOP Bochov a OOP Ostrov,2
BRAŽEC U TĚŠETIC,Karlovy Vary,Karlovarský kraj,OOP Bochov,930041,Dělí se mezi OOP Bochov a OOP Ostrov,2
Hradiště,Karlovy Vary,Karlovarský kraj,OOP Bochov,,Obec Hradiště se dělí se mezi OOP Bochov a OOP Ostrov,2
PODBOŘANSKÝ ROHOZEC U HRADIŠTĚ I,Karlovy Vary,Karlovarský kraj,OOP Bochov,930059,Dělí se mezi OOP Bochov a OOP Ostrov,2
PODOBŘANSKÝ ROHOZEC U HRADIŠTĚ II,Karlovy Vary,Karlovarský kraj,OOP Bochov,930075,Dělí se mezi OOP Bochov a OOP Ostrov,2
RADOŠOV U HRADIŠTĚ,Karlovy Vary,Karlovarský kraj,OOP Bochov,991244,Dělí se mezi OOP Bochov a OOP Ostrov,2
Stružná,Karlovy Vary,Karlovarský kraj,OOP Bochov,,,
TUREČ U HRADIŠTĚ,Karlovy Vary,Karlovarský kraj,OOP Bochov,990329,Dělí se mezi OOP Bochov a OOP Ostrov,2
VALEČ U HRADIŠTĚ,Karlovy Vary,Karlovarský kraj,OOP Bochov,992399,Dělí se mezi OOP Bochov a OOP Ostrov,2
Verušičky,Karlovy Vary,Karlovarský kraj,OOP Bochov,,,
Bohumín,Karviná,Moravskoslezský kraj,OOP Bohumín,,,
Rychvald,Karviná,Moravskoslezský kraj,OOP Bohumín,,,
Bojkovice,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Hostětín,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Komňa,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Nezdenice,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Pitín,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Rudice,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Starý Hrozenkov,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Šumice,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Vápenice,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Vyškovec,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Záhorovice,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Žítková,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,,,
Bor,Tachov,Plzeňský kraj,OOP Bor u Tachova,,,
Hošťka,Tachov,Plzeňský kraj,OOP Bor u Tachova,,,
Přimda,Tachov,Plzeňský kraj,OOP Bor u Tachova,,,
Rozvadov,Tachov,Plzeňský kraj,OOP Bor u Tachova,,,
Staré Sedlo,Tachov,Plzeňský kraj,OOP Bor u Tachova,,,
Stráž,Tachov,Plzeňský kraj,OOP Bor u Tachova,,,
Třemešné,Tachov,Plzeňský kraj,OOP Bor u Tachova,,,
Borovnice,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Boršov nad Vltavou,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Branišov,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Čakov,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Doubravice,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Doudleby,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Dubné,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Habří,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Heřmaň,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Homole,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Hradce,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Jankov,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Kamenný Újezd,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Kvítkovice,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Lipí,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Litvínovice,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Mokrý Lom,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Nedabyle,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Nová Ves,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Planá,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Plav,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Římov,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Roudné,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Včelná,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Vidov,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Vrábče,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Záboří,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Závraty,České Budějovice,Jihočeský kraj,OOP Bor u Tachova,,,
Bedřichov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Benešov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Borotín,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Boskovice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Cetkovice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Chrudichromy,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Doubravice nad Svitavou,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Drnovice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Jabloňany,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Knínice u Boskovic,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Kořenec,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Kozárov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Krhov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Kunčina Ves,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Kunice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Kuničky,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Lhota Rapotina,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Lhota u Lysic,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Ludíkov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Lysice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Němčice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Obora,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Okrouhlá,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Pamětice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Šebetov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Skalice nad Svitavou,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Štěchov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Suchý,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Sudice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Světlá,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Uhřice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Újezd u Boskovic,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Úsobrno,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Valchov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Vanovice,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Vážany,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Velenov,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Voděrady,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Žďárná,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Žerůtky,Blansko,Jihomoravský kraj,OOP Boskovice,,,
Brandýs nad Labem-Stará Boleslav,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Brázdim,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Dřevčice,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Jenštejn,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Káraný,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Mratín,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Nový Vestec,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Podolanka,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Polerady,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Přezletice,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Radonice,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Sluhy,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Veleň,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Zápy,Praha-východ,Středočeský kraj,OOP Brandýs/Labem-Stará Boleslav,,,
Břeclav,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Bulhary,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Hlohovec,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Hrušky,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Kostice,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Ladná,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Lanžhot,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Lednice,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Moravská Nová Ves,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Moravský Žižkov,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Podivín,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Tvrdonice,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Týnec,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Valtice,Břeclav,Jihomoravský kraj,OOP Břeclav,,,
Březnice,Příbram,Středočeský kraj,OOP Březnice,,,
Chrást,Příbram,Středočeský kraj,OOP Březnice,,,
Drahenice,Příbram,Středočeský kraj,OOP Březnice,,,
Hlubyně,Příbram,Středočeský kraj,OOP Březnice,,,
Horčápsko,Příbram,Středočeský kraj,OOP Březnice,,,
Hudčice,Příbram,Středočeský kraj,OOP Březnice,,,
Hvožďany,Příbram,Středočeský kraj,OOP Březnice,,,
Koupě,Příbram,Středočeský kraj,OOP Březnice,,,
Modřovice,Příbram,Středočeský kraj,OOP Březnice,,,
Nestrašovice,Příbram,Středočeský kraj,OOP Březnice,,,
Počaply,Příbram,Středočeský kraj,OOP Březnice,,,
Starosedlský Hrádek,Příbram,Středočeský kraj,OOP Březnice,,,
Svojšice,Příbram,Středočeský kraj,OOP Březnice,,,
Tochovice,Příbram,Středočeský kraj,OOP Březnice,,,
Třebsko,Příbram,Středočeský kraj,OOP Březnice,,,
Tušovice,Příbram,Středočeský kraj,OOP Březnice,,,
Volenice,Příbram,Středočeský kraj,OOP Březnice,,,
Bílence,Chomutov,Ústecký kraj,OOP Březno,,,
Březno,Chomutov,Ústecký kraj,OOP Březno,,,
Droužkovice,Chomutov,Ústecký kraj,OOP Březno,,,
Hrušovany,Chomutov,Ústecký kraj,OOP Březno,,,
Nezabylice,Chomutov,Ústecký kraj,OOP Březno,,,
Všehrdy,Chomutov,Ústecký kraj,OOP Březno,,,
Božanov,Náchod,Královéhradecký kraj,OOP Broumov,,,
Broumov,Náchod,Královéhradecký kraj,OOP Broumov,,,
Hejtmánkovice,Náchod,Královéhradecký kraj,OOP Broumov,,,
Heřmánkovice,Náchod,Královéhradecký kraj,OOP Broumov,,,
Hynčice,Náchod,Královéhradecký kraj,OOP Broumov,,,
Jetřichov,Náchod,Královéhradecký kraj,OOP Broumov,,,
