Velehrad,Uherské Hradiště,Zlínský kraj,OOP Uherské Hradiště,1314.0
Veltěže,Louny,Ústecký kraj,OOP Louny,421.0
Horní Dubenky,Jihlava,Kraj Vysočina,OOP Telč,656.0
Dlouhomilov,Šumperk,Olomoucký kraj,OOP Šumperk,476.0
Benetice,Třebíč,Kraj Vysočina,OOP Třebíč,194.0
Úlice,Plzeň-sever,Plzeňský kraj,OOP Město Touškov,458.0
Stařechovice,Prostějov,Olomoucký kraj,OOP Prostějov 1,549.0
Vražkov,Litoměřice,Ústecký kraj,OOP Roudnice nad Labem,413.0
Oldřichov v Hájích,Liberec,Liberecký kraj,OOP Chrastava,659.0
Jindřichov,Bruntál,Moravskoslezský kraj,OOP Město Albrechtice,3216.0
Teplá,Cheb,Karlovarský kraj,OOP Teplá,3044.0
Roudno,Bruntál,Moravskoslezský kraj,OOP Bruntál,198.0
Huštěnovice,Uherské Hradiště,Zlínský kraj,OOP Uherské Hradiště,979.0
Zlukov,Tábor,Jihočeský kraj,OOP Veselí nad Lužnicí,261.0
Zvěrkovice,Třebíč,Kraj Vysočina,OOP Moravské Budějovice,230.0
Šabina,Sokolov,Karlovarský kraj,OOP Kynšperk nad Ohří,314.0
Truskovice,Strakonice,Jihočeský kraj,OOP Vodňany,186.0
Turnov,Semily,Liberecký kraj,OOP Turnov,14354.0
Svépravice,Pelhřimov,Kraj Vysočina,OOP Pelhřimov,124.0
Litošice,Pardubice,Pardubický kraj,OOP Přelouč,129.0
Rybí,Nový Jičín,Moravskoslezský kraj,OOP Nový Jičín,1182.0
Soběsuky,Kroměříž,Zlínský kraj,OOP Morkovice-Slížany,359.0
Horní Kamenice,Domažlice,Plzeňský kraj,OOP Holýšov,232.0
Kupařovice,Brno-venkov,Jihomoravský kraj,OOP Ivančice,269.0
Tanvald,Jablonec nad Nisou,Liberecký kraj,OOP Tanvald,6727.0
Žeravice,Hodonín,Jihomoravský kraj,OOP Kyjov,1046.0
Provodovice,Přerov,Olomoucký kraj,OOP Hranice na Moravě,144.0
Josefov,Hodonín,Jihomoravský kraj,OOP Hodonín,755.0
Hradec,Plzeň-jih,Plzeňský kraj,OOP Stod,768.0
Rudice,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,1354.0
Heršpice,Vyškov,Jihomoravský kraj,OOP Slavkov u Brna,709.0
Archlebov,Hodonín,Jihomoravský kraj,OOP Kyjov,861.0
Bučina,Ústí nad Orlicí,Pardubický kraj,OOP Vysoké Mýto,210.0
Kněžmost,Mladá Boleslav,Středočeský kraj,OOP Mnichovo Hradiště,1837.0
Dolní Vilímeč,Jihlava,Kraj Vysočina,OOP Telč,96.0
Korno,Beroun,Středočeský kraj,OOP Karlštejn,92.0
Brtnice,Jihlava,Kraj Vysočina,OOP Jihlava,3732.0
Podbřežice,Vyškov,Jihomoravský kraj,OOP Vyškov,238.0
Sosnová,Opava,Moravskoslezský kraj,OOP Velké Heraltice,1123.0
Dlouhý Most,Liberec,Liberecký kraj,OOP Liberec Vesec,782.0
Rumburk,Děčín,Ústecký kraj,OOP Rumburk,11210.0
Trpišovice,Havlíčkův Brod,Kraj Vysočina,OOP Světlá nad Sázavou,156.0
Bordovice,Nový Jičín,Moravskoslezský kraj,OOP Frenštát pod Radhoštěm,578.0
Babice u Rosic,Brno-venkov,Jihomoravský kraj,OOP Rosice,668.0
Moraveč,Pelhřimov,Kraj Vysočina,OOP Pelhřimov,205.0
Bantice,Znojmo,Jihomoravský kraj,OOP Znojmo,288.0
Žlunice,Jičín,Královéhradecký kraj,OOP Kopidlno,248.0
Kostomlátky,Nymburk,Středočeský kraj,OOP Nymburk,280.0
Louňová,Plzeň-jih,Plzeňský kraj,OOP Blovice,63.0
Dlouhá Ves,Klatovy,Plzeňský kraj,OOP Sušice,1259.0
Golčův Jeníkov,Havlíčkův Brod,Kraj Vysočina,OOP Golčův Jeníkov,2669.0
Jedlá,Havlíčkův Brod,Kraj Vysočina,OOP Ledeč nad Sázavou,80.0
Nezdenice,Uherské Hradiště,Zlínský kraj,OOP Bojkovice,749.0
Český Krumlov,Český Krumlov,Jihočeský kraj,OOP Český Krumlov,13434.0
Rudlice,Znojmo,Jihomoravský kraj,OOP Jevišovice,107.0
Semčice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,676.0
Šelešovice,Kroměříž,Zlínský kraj,OOP Kroměříž,323.0
Uhelná,Jeseník,Olomoucký kraj,OOP Javorník,512.0
Čečelice,Mělník,Středočeský kraj,OOP Kostelec nad Labem,621.0
Malenovice,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,603.0
Radčice,Jablonec nad Nisou,Liberecký kraj,OOP Železný Brod,170.0
