Id,Vykazovane_zjisteno_mvcr,Vykazovane_objasneno_mvcr,FK_Crime_Lookup,FK_Area_Lookup,FK_Time_Range,Vykazovane_zjisteno_mesic,Vykazovane_objasneno_mesic,FK_District_Lookup
2981,78,1,3,0,4,78,1,8
2982,61,7,3,0,4,61,7,9
2983,45,17,3,0,4,45,17,10
2984,44,9,3,0,4,44,9,11
2985,103,11,3,0,4,103,11,12
2986,55,6,3,0,4,55,6,13
2987,129,4,3,0,4,129,4,14
2988,37,2,3,0,4,37,2,15
2989,91,4,3,0,4,91,4,16
2990,46,1,3,0,4,46,1,17
2991,47,4,3,0,4,47,4,18
2992,73,11,3,0,4,73,11,19
2993,33,4,3,0,4,33,4,20
2994,24,17,3,0,4,24,17,21
2995,28,3,3,0,4,28,3,22
2996,22,6,3,0,4,22,6,23
2997,17,2,3,0,4,17,2,24
2998,31,7,3,0,4,31,7,25
2999,11,5,3,0,4,11,5,26
3000,25,8,3,0,4,25,8,27
3001,65,14,3,0,4,65,14,28
3002,18,7,3,0,4,18,7,29
3003,21,5,3,0,4,21,5,30
3004,29,15,3,0,4,29,15,31
3005,27,10,3,0,4,27,10,32
3006,53,16,3,0,4,53,16,33
3007,83,20,3,0,4,83,20,34
3008,42,15,3,0,4,42,15,35
3009,41,11,3,0,4,41,11,36
3010,105,26,3,0,4,105,26,37
3011,58,15,3,0,4,58,15,38
3012,87,70,3,0,4,87,70,39
3013,34,4,3,0,4,34,4,40
3014,19,15,3,0,4,19,15,41
3015,34,9,3,0,4,34,9,42
3016,21,10,3,0,4,21,10,43
3017,53,23,3,0,4,53,23,44
3018,0,0,3,0,4,0,0,45
3019,139,11,3,0,4,139,11,46
3020,38,6,3,0,4,38,6,47
3021,40,6,3,0,4,40,6,48
3022,27,12,3,0,4,27,12,49
3023,25,2,3,0,4,25,2,50
3024,61,10,3,0,4,61,10,51
3025,0,0,3,0,4,0,0,52
3026,0,0,3,0,4,0,0,53
3027,32,5,3,0,4,32,5,54
3028,53,22,3,0,4,53,22,55
3029,148,25,3,0,4,148,25,56
3030,33,3,3,0,4,33,3,57
3031,38,16,3,0,4,38,16,58
3032,164,29,3,0,4,164,29,59
3033,0,0,3,0,4,0,0,60
3034,87,11,3,0,4,87,11,61
3035,42,1,3,0,4,42,1,62
3036,34,7,3,0,4,34,7,63
3037,5,4,3,0,4,5,4,64
3038,28,22,3,0,4,28,22,65
3039,35,16,3,0,4,35,16,66
3040,22,2,3,0,4,22,2,67
3041,27,2,3,0,4,27,2,68
3042,56,6,3,0,4,56,6,69
3043,42,2,3,0,4,42,2,70
3044,20,4,3,0,4,20,4,71
3045,20,10,3,0,4,20,10,72
3046,32,1,3,0,4,32,1,73
3047,14,2,3,0,4,14,2,74
3048,39,5,3,0,4,39,5,75
3049,44,5,3,0,4,44,5,76
3050,31,9,3,0,4,31,9,77
3051,30,3,3,0,4,30,3,78
3052,0,0,3,0,4,0,0,79
3053,59,22,3,0,4,59,22,80
3054,53,15,3,0,4,53,15,81
3055,55,27,3,0,4,55,27,82
3056,24,5,3,0,4,24,5,83
3057,44,15,3,0,4,44,15,84
3058,62,8,3,0,4,62,8,85
3059,40,13,3,0,4,40,13,86
3060,0,0,3,0,4,0,0,87
3061,12439,2107,4,1,4,12439,2107,0
3062,4241,257,4,2,4,4241,257,0
3063,1457,127,4,3,4,1457,127,0
3064,371,107,4,4,4,371,107,0
3065,502,131,4,5,4,502,131,0
3066,932,309,4,6,4,932,309,0
3067,365,94,4,7,4,365,94,0
3068,1169,189,4,8,4,1169,189,0
3069,1449,355,4,9,4,1449,355,0
3070,482,117,4,10,4,482,117,0
3071,266,64,4,11,4,266,64,0
3072,258,78,4,12,4,258,78,0
3073,328,83,4,13,4,328,83,0
3074,371,112,4,14,4,371,112,0
3075,248,84,4,15,4,248,84,0
3076,917,88,4,0,4,917,88,1
3077,977,46,4,0,4,977,46,2
3078,926,61,4,0,4,926,61,3
3079,1421,62,4,0,4,1421,62,4
3080,0,0,4,0,4,0,0,5
3081,85,4,4,0,4,85,4,6
3082,86,7,4,0,4,86,7,7
3083,180,8,4,0,4,180,8,8
3084,93,14,4,0,4,93,14,9
3085,51,25,4,0,4,51,25,10
3086,79,18,4,0,4,79,18,11
3087,144,8,4,0,4,144,8,12
3088,109,11,4,0,4,109,11,13
3089,161,6,4,0,4,161,6,14
3090,33,5,4,0,4,33,5,15
3091,193,7,4,0,4,193,7,16
3092,138,12,4,0,4,138,12,17
3093,105,2,4,0,4,105,2,18
3094,165,31,4,0,4,165,31,19
3095,32,6,4,0,4,32,6,20
3096,42,18,4,0,4,42,18,21
3097,42,7,4,0,4,42,7,22
3098,13,9,4,0,4,13,9,23
3099,46,13,4,0,4,46,13,24
3100,31,23,4,0,4,31,23,25
3101,35,21,4,0,4,35,21,26
3102,40,22,4,0,4,40,22,27
3103,293,58,4,0,4,293,58,28
3104,35,6,4,0,4,35,6,29
3105,36,3,4,0,4,36,3,30
3106,29,7,4,0,4,29,7,31
3107,34,14,4,0,4,34,14,32
3108,105,45,4,0,4,105,45,33
3109,175,62,4,0,4,175,62,34
3110,106,32,4,0,4,106,32,35
3111,85,29,4,0,4,85,29,36
3112,132,39,4,0,4,132,39,37
3113,202,48,4,0,4,202,48,38
3114,127,54,4,0,4,127,54,39
3115,126,37,4,0,4,126,37,40
3116,36,8,4,0,4,36,8,41
3117,62,9,4,0,4,62,9,42
3118,49,21,4,0,4,49,21,43
3119,92,19,4,0,4,92,19,44
3120,0,0,4,0,4,0,0,45
3121,785,122,4,0,4,785,122,46
3122,103,8,4,0,4,103,8,47
3123,100,14,4,0,4,100,14,48
3124,50,16,4,0,4,50,16,49
3125,59,12,4,0,4,59,12,50
3126,72,17,4,0,4,72,17,51
3127,0,0,4,0,4,0,0,52
3128,0,0,4,0,4,0,0,53
3129,30,11,4,0,4,30,11,54
3130,123,22,4,0,4,123,22,55
3131,271,87,4,0,4,271,87,56
3132,69,17,4,0,4,69,17,57
3133,77,30,4,0,4,77,30,58
3134,879,188,4,0,4,879,188,59
3135,0,0,4,0,4,0,0,60
3136,254,60,4,0,4,254,60,61
3137,62,12,4,0,4,62,12,62
3138,45,22,4,0,4,45,22,63
3139,17,5,4,0,4,17,5,64
3140,104,18,4,0,4,104,18,65
3141,79,25,4,0,4,79,25,66
3142,33,5,4,0,4,33,5,67
3143,64,14,4,0,4,64,14,68
3144,90,20,4,0,4,90,20,69
3145,84,14,4,0,4,84,14,70
3146,42,9,4,0,4,42,9,71
3147,56,33,4,0,4,56,33,72
3148,49,9,4,0,4,49,9,73
3149,27,13,4,0,4,27,13,74
3150,55,24,4,0,4,55,24,75
3151,156,35,4,0,4,156,35,76
3152,47,4,4,0,4,47,4,77
3153,70,20,4,0,4,70,20,78
3154,0,0,4,0,4,0,0,79
3155,94,26,4,0,4,94,26,80
3156,75,24,4,0,4,75,24,81
3157,154,41,4,0,4,154,41,82
3158,48,21,4,0,4,48,21,83
3159,104,38,4,0,4,104,38,84
3160,97,25,4,0,4,97,25,85
3161,47,21,4,0,4,47,21,86
3162,0,0,4,0,4,0,0,87
3163,1531,364,5,1,4,1531,364,0
3164,344,63,5,2,4,344,63,0
3165,233,49,5,3,4,233,49,0
3166,67,21,5,4,4,67,21,0
3167,69,29,5,5,4,69,29,0
3168,144,36,5,6,4,144,36,0
3169,49,17,5,7,4,49,17,0
3170,137,19,5,8,4,137,19,0
3171,187,36,5,9,4,187,36,0
3172,59,29,5,10,4,59,29,0
3173,54,12,5,11,4,54,12,0
3174,54,13,5,12,4,54,13,0
3175,32,7,5,13,4,32,7,0
3176,63,17,5,14,4,63,17,0
3177,39,16,5,15,4,39,16,0
3178,63,18,5,0,4,63,18,1
3179,75,14,5,0,4,75,14,2
3180,94,18,5,0,4,94,18,3
3181,112,13,5,0,4,112,13,4
3182,0,0,5,0,4,0,0,5
3183,24,7,5,0,4,24,7,6
3184,15,1,5,0,4,15,1,7
3185,20,5,5,0,4,20,5,8
3186,27,3,5,0,4,27,3,9
3187,9,1,5,0,4,9,1,10
3188,8,5,5,0,4,8,5,11
3189,23,4,5,0,4,23,4,12
3190,14,2,5,0,4,14,2,13
3191,39,5,5,0,4,39,5,14
3192,10,3,5,0,4,10,3,15
3193,8,6,5,0,4,8,6,16
3194,20,5,5,0,4,20,5,17
3195,16,2,5,0,4,16,2,18
3196,27,8,5,0,4,27,8,19
3197,7,3,5,0,4,7,3,20
3198,4,2,5,0,4,4,2,21
3199,6,2,5,0,4,6,2,22
3200,4,1,5,0,4,4,1,23
3201,7,0,5,0,4,7,0,24
3202,12,5,5,0,4,12,5,25
3203,5,2,5,0,4,5,2,26
3204,13,7,5,0,4,13,7,27
3205,40,16,5,0,4,40,16,28
3206,3,0,5,0,4,3,0,29
3207,1,1,5,0,4,1,1,30
3208,4,2,5,0,4,4,2,31
3209,3,1,5,0,4,3,1,32
3210,31,13,5,0,4,31,13,33
3211,37,8,5,0,4,37,8,34
3212,9,2,5,0,4,9,2,35
3213,4,1,5,0,4,4,1,36
3214,23,4,5,0,4,23,4,37
3215,16,5,5,0,4,16,5,38
3216,24,3,5,0,4,24,3,39
3217,9,3,5,0,4,9,3,40
3218,3,2,5,0,4,3,2,41
3219,12,3,5,0,4,12,3,42
3220,4,2,5,0,4,4,2,43
3221,21,7,5,0,4,21,7,44
3222,0,0,5,0,4,0,0,45
3223,79,8,5,0,4,79,8,46
3224,19,2,5,0,4,19,2,47
3225,13,2,5,0,4,13,2,48
3226,2,4,5,0,4,2,4,49
3227,17,2,5,0,4,17,2,50
3228,7,1,5,0,4,7,1,51
3229,0,0,5,0,4,0,0,52
3230,0,0,5,0,4,0,0,53
3231,9,2,5,0,4,9,2,54
3232,25,9,5,0,4,25,9,55
3233,30,5,5,0,4,30,5,56
3234,14,1,5,0,4,14,1,57
3235,29,9,5,0,4,29,9,58
3236,80,10,5,0,4,80,10,59
3237,0,0,5,0,4,0,0,60
3238,35,15,5,0,4,35,15,61
3239,12,4,5,0,4,12,4,62
3240,5,4,5,0,4,5,4,63
3241,2,2,5,0,4,2,2,64
3242,5,4,5,0,4,5,4,65
3243,27,6,5,0,4,27,6,66
3244,10,2,5,0,4,10,2,67
3245,9,2,5,0,4,9,2,68
3246,8,2,5,0,4,8,2,69
3247,12,3,5,0,4,12,3,70
3248,11,1,5,0,4,11,1,71
3249,9,3,5,0,4,9,3,72
3250,16,3,5,0,4,16,3,73
3251,6,3,5,0,4,6,3,74
3252,2,1,5,0,4,2,1,75
3253,15,0,5,0,4,15,0,76
3254,11,3,5,0,4,11,3,77
3255,4,3,5,0,4,4,3,78
3256,0,0,5,0,4,0,0,79
3257,24,7,5,0,4,24,7,80
3258,10,2,5,0,4,10,2,81
3259,16,3,5,0,4,16,3,82
3260,13,5,5,0,4,13,5,83
3261,6,4,5,0,4,6,4,84
3262,26,7,5,0,4,26,7,85
3263,7,5,5,0,4,7,5,86
3264,0,0,5,0,4,0,0,87
3265,1649,1035,6,1,4,1649,1035,0
3266,241,182,6,2,4,241,182,0
3267,216,144,6,3,4,216,144,0
3268,143,98,6,4,4,143,98,0
3269,51,29,6,5,4,51,29,0
3270,185,104,6,6,4,185,104,0
3271,51,32,6,7,4,51,32,0
3272,190,98,6,8,4,190,98,0
3273,160,90,6,9,4,160,90,0
3274,77,42,6,10,4,77,42,0
3275,86,56,6,11,4,86,56,0
3276,73,33,6,12,4,73,33,0
3277,36,20,6,13,4,36,20,0
3278,84,64,6,14,4,84,64,0
3279,56,43,6,15,4,56,43,0
3280,55,47,6,0,4,55,47,1
3281,71,50,6,0,4,71,50,2
3282,56,45,6,0,4,56,45,3
3283,59,40,6,0,4,59,40,4
3284,0,0,6,0,4,0,0,5
3285,23,17,6,0,4,23,17,6
3286,11,4,6,0,4,11,4,7
3287,20,15,6,0,4,20,15,8
3288,20,20,6,0,4,20,20,9
3289,13,8,6,0,4,13,8,10
3290,23,17,6,0,4,23,17,11
3291,12,12,6,0,4,12,12,12
3292,10,8,6,0,4,10,8,13
3293,13,12,6,0,4,13,12,14
3294,5,4,6,0,4,5,4,15
3295,29,11,6,0,4,29,11,16
3296,20,8,6,0,4,20,8,17
3297,17,8,6,0,4,17,8,18
3298,51,31,6,0,4,51,31,19
3299,20,11,6,0,4,20,11,20
3300,20,14,6,0,4,20,14,21
3301,11,6,6,0,4,11,6,22
3302,14,11,6,0,4,14,11,23
3303,10,7,6,0,4,10,7,24
3304,17,18,6,0,4,17,18,25
3305,1,2,6,0,4,1,2,26
3306,7,3,6,0,4,7,3,27
3307,20,6,6,0,4,20,6,28
3308,2,3,6,0,4,2,3,29
3309,4,5,6,0,4,4,5,30
3310,3,2,6,0,4,3,2,31
3311,14,8,6,0,4,14,8,32
3312,16,7,6,0,4,16,7,33
3313,27,14,6,0,4,27,14,34
3314,38,24,6,0,4,38,24,35
3315,12,12,6,0,4,12,12,36
3316,39,10,6,0,4,39,10,37
3317,44,32,6,0,4,44,32,38
3318,9,5,6,0,4,9,5,39
3319,15,12,6,0,4,15,12,40
3320,7,6,6,0,4,7,6,41
3321,14,6,6,0,4,14,6,42
3322,8,5,6,0,4,8,5,43
3323,7,3,6,0,4,7,3,44
3324,0,0,6,0,4,0,0,45
3325,84,51,6,0,4,84,51,46
3326,21,3,6,0,4,21,3,47
3327,25,11,6,0,4,25,11,48
3328,22,17,6,0,4,22,17,49
3329,9,7,6,0,4,9,7,50
3330,29,9,6,0,4,29,9,51
3331,0,0,6,0,4,0,0,52
3332,0,0,6,0,4,0,0,53
3333,18,10,6,0,4,18,10,54
3334,25,16,6,0,4,25,16,55
3335,40,19,6,0,4,40,19,56
3336,14,7,6,0,4,14,7,57
3337,18,9,6,0,4,18,9,58
3338,45,29,6,0,4,45,29,59
3339,0,0,6,0,4,0,0,60
3340,27,14,6,0,4,27,14,61
3341,19,7,6,0,4,19,7,62
3342,4,3,6,0,4,4,3,63
3343,10,9,6,0,4,10,9,64
3344,17,9,6,0,4,17,9,65
3345,19,11,6,0,4,19,11,66
3346,30,18,6,0,4,30,18,67
3347,23,16,6,0,4,23,16,68
3348,14,11,6,0,4,14,11,69
3349,19,11,6,0,4,19,11,70
3350,12,5,6,0,4,12,5,71
3351,16,7,6,0,4,16,7,72
3352,15,2,6,0,4,15,2,73
3353,11,8,6,0,4,11,8,74
3354,10,7,6,0,4,10,7,75
3355,9,7,6,0,4,9,7,76
3356,11,5,6,0,4,11,5,77
3357,6,1,6,0,4,6,1,78
3358,0,0,6,0,4,0,0,79
3359,32,23,6,0,4,32,23,80
3360,20,20,6,0,4,20,20,81
3361,23,20,6,0,4,23,20,82
3362,9,1,6,0,4,9,1,83
3363,25,21,6,0,4,25,21,84
3364,9,9,6,0,4,9,9,85
3365,22,13,6,0,4,22,13,86
3366,0,0,6,0,4,0,0,87
3367,4594,4259,7,1,4,4594,4259,0
3368,434,404,7,2,4,434,404,0
3369,513,482,7,3,4,513,482,0
3370,276,250,7,4,4,276,250,0
3371,262,247,7,5,4,262,247,0
3372,596,544,7,6,4,596,544,0
3373,247,219,7,7,4,247,219,0
3374,480,442,7,8,4,480,442,0
3375,497,441,7,9,4,497,441,0
3376,260,230,7,10,4,260,230,0
3377,193,181,7,11,4,193,181,0
3378,165,154,7,12,4,165,154,0
3379,198,198,7,13,4,198,198,0
3380,283,275,7,14,4,283,275,0
3381,190,192,7,15,4,190,192,0
3382,67,67,7,0,4,67,67,1
3383,100,77,7,0,4,100,77,2
3384,145,143,7,0,4,145,143,3
3385,122,117,7,0,4,122,117,4
3386,0,0,7,0,4,0,0,5
3387,34,28,7,0,4,34,28,6
3388,45,44,7,0,4,45,44,7
3389,53,43,7,0,4,53,43,8
3390,35,31,7,0,4,35,31,9
3391,17,15,7,0,4,17,15,10
3392,62,55,7,0,4,62,55,11
3393,52,54,7,0,4,52,54,12
3394,56,53,7,0,4,56,53,13
3395,37,42,7,0,4,37,42,14
3396,24,18,7,0,4,24,18,15
3397,32,39,7,0,4,32,39,16
3398,35,32,7,0,4,35,32,17
3399,31,28,7,0,4,31,28,18
3400,97,91,7,0,4,97,91,19
3401,29,26,7,0,4,29,26,20
3402,36,39,7,0,4,36,39,21
3403,21,16,7,0,4,21,16,22
3404,22,20,7,0,4,22,20,23
3405,31,20,7,0,4,31,20,24
3406,40,38,7,0,4,40,38,25
3407,36,37,7,0,4,36,37,26
3408,39,36,7,0,4,39,36,27
3409,87,75,7,0,4,87,75,28
3410,24,23,7,0,4,24,23,29
3411,24,24,7,0,4,24,24,30
3412,11,10,7,0,4,11,10,31
3413,41,42,7,0,4,41,42,32
3414,103,101,7,0,4,103,101,33
3415,80,87,7,0,4,80,87,34
3416,110,84,7,0,4,110,84,35
3417,54,56,7,0,4,54,56,36
3418,79,65,7,0,4,79,65,37
3419,107,92,7,0,4,107,92,38
3420,63,59,7,0,4,63,59,39
3421,71,61,7,0,4,71,61,40
3422,22,24,7,0,4,22,24,41
3423,40,41,7,0,4,40,41,42
3424,34,25,7,0,4,34,25,43
3425,80,68,7,0,4,80,68,44
3426,0,0,7,0,4,0,0,45
3427,169,146,7,0,4,169,146,46
3428,56,54,7,0,4,56,54,47
3429,56,51,7,0,4,56,51,48
3430,50,42,7,0,4,50,42,49
3431,52,58,7,0,4,52,58,50
3432,97,91,7,0,4,97,91,51
3433,0,0,7,0,4,0,0,52
3434,0,0,7,0,4,0,0,53
3435,53,47,7,0,4,53,47,54
3436,49,48,7,0,4,49,48,55
3437,107,100,7,0,4,107,100,56
3438,67,57,7,0,4,67,57,57
3439,65,47,7,0,4,65,47,58
3440,156,142,7,0,4,156,142,59
3441,0,0,7,0,4,0,0,60
3442,113,90,7,0,4,113,90,61
3443,44,43,7,0,4,44,43,62
3444,56,54,7,0,4,56,54,63
3445,15,19,7,0,4,15,19,64
3446,32,24,7,0,4,32,24,65
3447,56,62,7,0,4,56,62,66
3448,46,35,7,0,4,46,35,67
3449,49,40,7,0,4,49,40,68
3450,42,44,7,0,4,42,44,69
3451,52,53,7,0,4,52,53,70
3452,42,43,7,0,4,42,43,71
3453,24,13,7,0,4,24,13,72
3454,25,26,7,0,4,25,26,73
3455,22,19,7,0,4,22,19,74
3456,35,37,7,0,4,35,37,75
3457,75,83,7,0,4,75,83,76
3458,44,38,7,0,4,44,38,77
3459,44,40,7,0,4,44,40,78
3460,0,0,7,0,4,0,0,79
3461,72,81,7,0,4,72,81,80
3462,59,50,7,0,4,59,50,81
3463,110,103,7,0,4,110,103,82
3464,42,41,7,0,4,42,41,83
3465,59,61,7,0,4,59,61,84
3466,55,53,7,0,4,55,53,85
3467,76,78,7,0,4,76,78,86
3468,0,0,7,0,4,0,0,87
3469,2789,1368,8,1,4,2789,1368,0
3470,583,303,8,2,4,583,303,0
3471,184,77,8,3,4,184,77,0
3472,136,94,8,4,4,136,94,0
3473,106,72,8,5,4,106,72,0
3474,321,174,8,6,4,321,174,0
3475,140,66,8,7,4,140,66,0
3476,320,115,8,8,4,320,115,0
3477,355,132,8,9,4,355,132,0
3478,120,56,8,10,4,120,56,0
3479,139,51,8,11,4,139,51,0
3480,82,36,8,12,4,82,36,0
3481,100,35,8,13,4,100,35,0
3482,129,103,8,14,4,129,103,0
3483,74,54,8,15,4,74,54,0
3484,167,77,8,0,4,167,77,1
3485,119,57,8,0,4,119,57,2
3486,154,91,8,0,4,154,91,3
3487,143,78,8,0,4,143,78,4
3488,0,0,8,0,4,0,0,5
3489,17,11,8,0,4,17,11,6
3490,23,7,8,0,4,23,7,7
3491,20,8,8,0,4,20,8,8
3492,12,6,8,0,4,12,6,9
3493,8,4,8,0,4,8,4,10
3494,16,7,8,0,4,16,7,11
3495,23,8,8,0,4,23,8,12
3496,16,10,8,0,4,16,10,13
3497,15,8,8,0,4,15,8,14
3498,4,1,8,0,4,4,1,15
3499,19,3,8,0,4,19,3,16
3500,7,4,8,0,4,7,4,17
3501,4,0,8,0,4,4,0,18
3502,36,23,8,0,4,36,23,19
3503,9,6,8,0,4,9,6,20
3504,13,9,8,0,4,13,9,21
3505,15,12,8,0,4,15,12,22
3506,14,7,8,0,4,14,7,23
3507,35,23,8,0,4,35,23,24
3508,14,14,8,0,4,14,14,25
3509,13,14,8,0,4,13,14,26
3510,17,15,8,0,4,17,15,27
3511,40,17,8,0,4,40,17,28
3512,10,7,8,0,4,10,7,29
3513,11,10,8,0,4,11,10,30
3514,4,3,8,0,4,4,3,31
3515,11,6,8,0,4,11,6,32
3516,31,33,8,0,4,31,33,33
3517,55,15,8,0,4,55,15,34
3518,45,15,8,0,4,45,15,35
3519,19,12,8,0,4,19,12,36
3520,32,23,8,0,4,32,23,37
3521,85,45,8,0,4,85,45,38
3522,54,31,8,0,4,54,31,39
3523,54,17,8,0,4,54,17,40
3524,9,7,8,0,4,9,7,41
3525,38,21,8,0,4,38,21,42
3526,14,8,8,0,4,14,8,43
3527,25,13,8,0,4,25,13,44
3528,0,0,8,0,4,0,0,45
3529,155,63,8,0,4,155,63,46
3530,27,12,8,0,4,27,12,47
3531,35,13,8,0,4,35,13,48
3532,37,8,8,0,4,37,8,49
3533,36,10,8,0,4,36,10,50
3534,30,9,8,0,4,30,9,51
3535,0,0,8,0,4,0,0,52
3536,0,0,8,0,4,0,0,53
3537,41,11,8,0,4,41,11,54
3538,53,24,8,0,4,53,24,55
3539,68,17,8,0,4,68,17,56
3540,28,7,8,0,4,28,7,57
3541,42,19,8,0,4,42,19,58
3542,123,54,8,0,4,123,54,59
3543,0,0,8,0,4,0,0,60
3544,44,15,8,0,4,44,15,61
3545,19,7,8,0,4,19,7,62
3546,22,13,8,0,4,22,13,63
3547,7,6,8,0,4,7,6,64
3548,28,15,8,0,4,28,15,65
3549,58,22,8,0,4,58,22,66
3550,17,4,8,0,4,17,4,67
3551,24,11,8,0,4,24,11,68
3552,40,14,8,0,4,40,14,69
3553,13,3,8,0,4,13,3,70
3554,30,16,8,0,4,30,16,71
3555,11,12,8,0,4,11,12,72
3556,15,0,8,0,4,15,0,73
3557,13,5,8,0,4,13,5,74
3558,11,6,8,0,4,11,6,75
3559,47,13,8,0,4,47,13,76
3560,23,11,8,0,4,23,11,77
3561,19,5,8,0,4,19,5,78
3562,0,0,8,0,4,0,0,79
3563,40,41,8,0,4,40,41,80
3564,34,16,8,0,4,34,16,81
3565,43,42,8,0,4,43,42,82
3566,12,4,8,0,4,12,4,83
3567,19,13,8,0,4,19,13,84
3568,32,25,8,0,4,32,25,85
3569,23,16,8,0,4,23,16,86
3570,0,0,8,0,4,0,0,87
3571,2,1,9,1,4,2,1,0
3572,0,0,9,2,4,0,0,0
3573,-1,-1,9,3,4,-1,-1,0
3574,2,1,9,4,4,2,1,0
3575,0,0,9,5,4,0,0,0
3576,0,0,9,6,4,0,0,0
3577,0,0,9,7,4,0,0,0
3578,0,0,9,8,4,0,0,0
3579,0,0,9,9,4,0,0,0
3580,0,0,9,10,4,0,0,0
3581,0,0,9,11,4,0,0,0
3582,0,0,9,12,4,0,0,0
3583,0,1,9,13,4,0,1,0
3584,1,0,9,14,4,1,0,0
3585,0,0,9,15,4,0,0,0
3586,0,0,9,0,4,0,0,1
3587,0,0,9,0,4,0,0,2
3588,0,0,9,0,4,0,0,3
3589,0,0,9,0,4,0,0,4
3590,0,0,9,0,4,0,0,5
3591,-1,-1,9,0,4,-1,-1,6
3592,0,0,9,0,4,0,0,7
3593,0,0,9,0,4,0,0,8
3594,0,0,9,0,4,0,0,9
3595,0,0,9,0,4,0,0,10
3596,0,0,9,0,4,0,0,11
3597,0,0,9,0,4,0,0,12
3598,0,0,9,0,4,0,0,13
3599,0,0,9,0,4,0,0,14
3600,0,0,9,0,4,0,0,15
3601,0,0,9,0,4,0,0,16
3602,0,0,9,0,4,0,0,17
3603,0,0,9,0,4,0,0,18
3604,0,0,9,0,4,0,0,19
3605,0,0,9,0,4,0,0,20
3606,0,0,9,0,4,0,0,21
3607,0,0,9,0,4,0,0,22
3608,1,0,9,0,4,1,0,23
3609,0,0,9,0,4,0,0,24
3610,1,1,9,0,4,1,1,25
3611,0,0,9,0,4,0,0,26
3612,0,0,9,0,4,0,0,27
3613,0,0,9,0,4,0,0,28
3614,0,0,9,0,4,0,0,29
3615,0,0,9,0,4,0,0,30
3616,0,0,9,0,4,0,0,31
3617,0,0,9,0,4,0,0,32
3618,0,0,9,0,4,0,0,33
3619,0,0,9,0,4,0,0,34
3620,0,0,9,0,4,0,0,35
3621,0,0,9,0,4,0,0,36
3622,0,0,9,0,4,0,0,37
3623,0,0,9,0,4,0,0,38
3624,0,0,9,0,4,0,0,39
3625,0,0,9,0,4,0,0,40
3626,0,0,9,0,4,0,0,41
3627,0,0,9,0,4,0,0,42
3628,0,0,9,0,4,0,0,43
3629,0,0,9,0,4,0,0,44
3630,0,0,9,0,4,0,0,45
3631,0,0,9,0,4,0,0,46
3632,0,0,9,0,4,0,0,47
3633,0,0,9,0,4,0,0,48
3634,0,0,9,0,4,0,0,49
3635,0,0,9,0,4,0,0,50
3636,0,0,9,0,4,0,0,51
3637,0,0,9,0,4,0,0,52
3638,0,0,9,0,4,0,0,53
3639,0,0,9,0,4,0,0,54
3640,0,0,9,0,4,0,0,55
3641,0,0,9,0,4,0,0,56
3642,0,0,9,0,4,0,0,57
3643,0,0,9,0,4,0,0,58
3644,0,0,9,0,4,0,0,59
3645,0,0,9,0,4,0,0,60
3646,0,0,9,0,4,0,0,61
3647,0,0,9,0,4,0,0,62
3648,0,0,9,0,4,0,0,63
3649,0,0,9,0,4,0,0,64
3650,0,0,9,0,4,0,0,65
3651,0,0,9,0,4,0,0,66
3652,0,0,9,0,4,0,0,67
3653,0,0,9,0,4,0,0,68
3654,0,0,9,0,4,0,0,69
3655,0,0,9,0,4,0,0,70
3656,0,0,9,0,4,0,0,71
3657,0,0,9,0,4,0,0,72
3658,0,0,9,0,4,0,0,73
3659,0,0,9,0,4,0,0,74
3660,0,1,9,0,4,0,1,75
3661,0,0,9,0,4,0,0,76
3662,0,0,9,0,4,0,0,77
3663,0,0,9,0,4,0,0,78
3664,0,0,9,0,4,0,0,79
3665,0,0,9,0,4,0,0,80
3666,0,0,9,0,4,0,0,81
3667,1,0,9,0,4,1,0,82
3668,0,0,9,0,4,0,0,83
3669,0,0,9,0,4,0,0,84
3670,0,0,9,0,4,0,0,85
3671,0,0,9,0,4,0,0,86
3672,0,0,9,0,4,0,0,87
3673,1456,870,1,1,5,1456,870,0
3674,207,85,1,2,5,207,85,0
3675,168,87,1,3,5,168,87,0
3676,99,60,1,4,5,99,60,0
3677,61,24,1,5,5,61,24,0
3678,169,122,1,6,5,169,122,0
3679,56,33,1,7,5,56,33,0
3680,114,74,1,8,5,114,74,0
3681,219,115,1,9,5,219,115,0
3682,84,69,1,10,5,84,69,0
3683,43,32,1,11,5,43,32,0
3684,30,29,1,12,5,30,29,0
3685,67,41,1,13,5,67,41,0
3686,98,63,1,14,5,98,63,0
3687,41,36,1,15,5,41,36,0
3688,62,23,1,0,5,62,23,1
3689,25,19,1,0,5,25,19,2
3690,58,30,1,0,5,58,30,3
3691,62,13,1,0,5,62,13,4
3692,0,0,1,0,5,0,0,5
3693,7,9,1,0,5,7,9,6
3694,10,3,1,0,5,10,3,7
3695,19,13,1,0,5,19,13,8
3696,24,9,1,0,5,24,9,9
3697,5,5,1,0,5,5,5,10
3698,10,8,1,0,5,10,8,11
3699,15,12,1,0,5,15,12,12
3700,6,3,1,0,5,6,3,13
3701,25,11,1,0,5,25,11,14
3702,12,3,1,0,5,12,3,15
3703,12,6,1,0,5,12,6,16
3704,14,5,1,0,5,14,5,17
3705,9,0,1,0,5,9,0,18
3706,35,22,1,0,5,35,22,19
3707,14,3,1,0,5,14,3,20
3708,16,12,1,0,5,16,12,21
