Id,Vykazovane_zjisteno_mvcr,Vykazovane_objasneno_mvcr,FK_Crime_Lookup,FK_Area_Lookup,FK_Time_Range,Vykazovane_zjisteno_mesic,Vykazovane_objasneno_mesic,FK_District_Lookup
150,5,1,2,0,1,5,1,33
151,4,4,2,0,1,4,4,34
152,2,0,2,0,1,2,0,35
153,2,1,2,0,1,2,1,36
154,1,1,2,0,1,1,1,37
155,3,3,2,0,1,3,3,38
156,7,3,2,0,1,7,3,39
157,2,1,2,0,1,2,1,40
158,0,0,2,0,1,0,0,41
159,4,2,2,0,1,4,2,42
160,1,0,2,0,1,1,0,43
161,2,2,2,0,1,2,2,44
162,0,0,2,0,1,0,0,45
163,7,2,2,0,1,7,2,46
164,2,2,2,0,1,2,2,47
165,1,0,2,0,1,1,0,48
166,3,0,2,0,1,3,0,49
167,3,0,2,0,1,3,0,50
168,2,1,2,0,1,2,1,51
169,0,0,2,0,1,0,0,52
170,0,0,2,0,1,0,0,53
171,4,2,2,0,1,4,2,54
172,2,1,2,0,1,2,1,55
173,6,1,2,0,1,6,1,56
174,1,0,2,0,1,1,0,57
175,2,0,2,0,1,2,0,58
176,10,6,2,0,1,10,6,59
177,0,0,2,0,1,0,0,60
178,2,1,2,0,1,2,1,61
179,3,2,2,0,1,3,2,62
180,3,1,2,0,1,3,1,63
181,4,1,2,0,1,4,1,64
182,0,0,2,0,1,0,0,65
183,2,0,2,0,1,2,0,66
184,1,0,2,0,1,1,0,67
185,0,0,2,0,1,0,0,68
186,1,0,2,0,1,1,0,69
187,1,1,2,0,1,1,1,70
188,0,0,2,0,1,0,0,71
189,0,0,2,0,1,0,0,72
190,1,0,2,0,1,1,0,73
191,1,1,2,0,1,1,1,74
192,1,1,2,0,1,1,1,75
193,3,1,2,0,1,3,1,76
194,4,2,2,0,1,4,2,77
195,3,2,2,0,1,3,2,78
196,0,0,2,0,1,0,0,79
197,3,2,2,0,1,3,2,80
198,4,2,2,0,1,4,2,81
199,7,5,2,0,1,7,5,82
200,2,2,2,0,1,2,2,83
201,1,1,2,0,1,1,1,84
202,2,0,2,0,1,2,0,85
203,2,1,2,0,1,2,1,86
204,0,0,2,0,1,0,0,87
205,4664,451,3,1,1,4664,451,0
206,819,31,3,2,1,819,31,0
207,788,40,3,3,1,788,40,0
208,238,24,3,4,1,238,24,0
209,217,38,3,5,1,217,38,0
210,506,114,3,6,1,506,114,0
211,203,12,3,7,1,203,12,0
212,376,37,3,8,1,376,37,0
213,498,30,3,9,1,498,30,0
214,224,30,3,10,1,224,30,0
215,150,18,3,11,1,150,18,0
216,117,12,3,12,1,117,12,0
217,175,13,3,13,1,175,13,0
218,203,23,3,14,1,203,23,0
219,150,29,3,15,1,150,29,0
220,199,16,3,0,1,199,16,1
221,168,4,3,0,1,168,4,2
222,199,7,3,0,1,199,7,3
223,253,4,3,0,1,253,4,4
224,0,0,3,0,1,0,0,5
225,33,3,3,0,1,33,3,6
226,70,0,3,0,1,70,0,7
227,87,0,3,0,1,87,0,8
228,73,10,3,0,1,73,10,9
229,43,4,3,0,1,43,4,10
230,33,3,3,0,1,33,3,11
231,66,2,3,0,1,66,2,12
232,54,6,3,0,1,54,6,13
233,91,3,3,0,1,91,3,14
234,40,1,3,0,1,40,1,15
235,84,2,3,0,1,84,2,16
236,55,4,3,0,1,55,4,17
237,59,2,3,0,1,59,2,18
238,83,2,3,0,1,83,2,19
239,36,5,3,0,1,36,5,20
240,32,6,3,0,1,32,6,21
241,22,1,3,0,1,22,1,22
242,14,1,3,0,1,14,1,23
243,32,6,3,0,1,32,6,24
244,19,3,3,0,1,19,3,25
245,17,3,3,0,1,17,3,26
246,43,14,3,0,1,43,14,27
247,83,10,3,0,1,83,10,28
248,19,0,3,0,1,19,0,29
249,14,3,3,0,1,14,3,30
250,16,2,3,0,1,16,2,31
251,25,6,3,0,1,25,6,32
252,69,20,3,0,1,69,20,33
253,67,8,3,0,1,67,8,34
254,82,17,3,0,1,82,17,35
255,55,11,3,0,1,55,11,36
256,77,10,3,0,1,77,10,37
257,65,14,3,0,1,65,14,38
258,91,34,3,0,1,91,34,39
259,46,3,3,0,1,46,3,40
260,38,2,3,0,1,38,2,41
261,35,5,3,0,1,35,5,42
262,26,0,3,0,1,26,0,43
263,58,2,3,0,1,58,2,44
264,0,0,3,0,1,0,0,45
265,159,10,3,0,1,159,10,46
266,63,10,3,0,1,63,10,47
267,50,2,3,0,1,50,2,48
268,27,5,3,0,1,27,5,49
269,39,10,3,0,1,39,10,50
270,38,0,3,0,1,38,0,51
271,0,0,3,0,1,0,0,52
272,0,0,3,0,1,0,0,53
273,37,5,3,0,1,37,5,54
274,72,1,3,0,1,72,1,55
275,135,4,3,0,1,135,4,56
276,32,1,3,0,1,32,1,57
277,38,4,3,0,1,38,4,58
278,184,15,3,0,1,184,15,59
279,0,0,3,0,1,0,0,60
280,94,14,3,0,1,94,14,61
281,44,4,3,0,1,44,4,62
282,43,6,3,0,1,43,6,63
283,15,3,3,0,1,15,3,64
284,28,3,3,0,1,28,3,65
285,56,8,3,0,1,56,8,66
286,16,3,3,0,1,16,3,67
